"season","clutch_group","shot_type","attempts","total_attempts","share"
2006,"Baseline","2PT",24266,41410,0.585993721323352
2006,"Baseline","3PT",7343,41410,0.177324317797633
2006,"Baseline","FT",9801,41410,0.236681960879015
2006,"Late Tight","2PT",958,1967,0.487036095577021
2006,"Late Tight","3PT",326,1967,0.165734621250635
2006,"Late Tight","FT",683,1967,0.347229283172344
2007,"Baseline","2PT",22691,38853,0.584021825856433
2007,"Baseline","3PT",7366,38853,0.189586389725375
2007,"Baseline","FT",8796,38853,0.226391784418192
2007,"Late Tight","2PT",1283,2640,0.485984848484848
2007,"Late Tight","3PT",477,2640,0.180681818181818
2007,"Late Tight","FT",880,2640,0.333333333333333
2008,"Baseline","2PT",24010,41464,0.579056530966622
2008,"Baseline","3PT",7519,41464,0.181338028169014
2008,"Baseline","FT",9935,41464,0.239605440864364
2008,"Late Tight","2PT",1265,2671,0.473605391239236
2008,"Late Tight","3PT",441,2671,0.165106701609884
2008,"Late Tight","FT",965,2671,0.36128790715088
2009,"Baseline","2PT",22656,39091,0.579570745184314
2009,"Baseline","3PT",7399,39091,0.189276304008595
2009,"Baseline","FT",9036,39091,0.231152950807091
2009,"Late Tight","2PT",1409,2843,0.495603236018291
2009,"Late Tight","3PT",490,2843,0.172353148083011
2009,"Late Tight","FT",944,2843,0.332043615898699
2010,"Baseline","2PT",20845,36135,0.576864535768645
2010,"Baseline","3PT",6999,36135,0.193690327936903
2010,"Baseline","FT",8291,36135,0.229445136294451
2010,"Late Tight","2PT",1141,2367,0.482044782425011
2010,"Late Tight","3PT",389,2367,0.164343050274609
2010,"Late Tight","FT",837,2367,0.35361216730038
2011,"Baseline","2PT",21327,35819,0.595410257126106
2011,"Baseline","3PT",6661,35819,0.185962757195902
2011,"Baseline","FT",7831,35819,0.218626985677992
2011,"Late Tight","2PT",1035,2050,0.504878048780488
2011,"Late Tight","3PT",382,2050,0.186341463414634
2011,"Late Tight","FT",633,2050,0.308780487804878
2012,"Baseline","2PT",20852,35887,0.581046061247806
2012,"Baseline","3PT",7369,35887,0.205338980689386
2012,"Baseline","FT",7666,35887,0.213614958062808
2012,"Late Tight","2PT",756,1613,0.468691878487291
2012,"Late Tight","3PT",351,1613,0.217606943583385
2012,"Late Tight","FT",506,1613,0.313701177929324
2013,"Baseline","2PT",22190,35845,0.619054261403264
2013,"Baseline","3PT",5926,35845,0.165322918119682
2013,"Baseline","FT",7729,35845,0.215622820477054
2013,"Late Tight","2PT",819,1738,0.471231300345224
2013,"Late Tight","3PT",335,1738,0.192750287686997
2013,"Late Tight","FT",584,1738,0.336018411967779
2014,"Baseline","2PT",21935,35208,0.623011815496478
2014,"Baseline","3PT",5828,35208,0.165530561236083
2014,"Baseline","FT",7445,35208,0.211457623267439
2014,"Late Tight","2PT",1329,2582,0.514717273431448
2014,"Late Tight","3PT",442,2582,0.171185127807901
2014,"Late Tight","FT",811,2582,0.314097598760651
2015,"Baseline","2PT",21759,35577,0.611603001939455
2015,"Baseline","3PT",6265,35577,0.176096916547207
2015,"Baseline","FT",7553,35577,0.212300081513337
2015,"Late Tight","2PT",1182,2307,0.512353706111834
2015,"Late Tight","3PT",392,2307,0.169917641959254
2015,"Late Tight","FT",733,2307,0.317728651928912
2016,"Baseline","2PT",21148,35965,0.588016126789935
2016,"Baseline","3PT",6415,35965,0.178367857639372
2016,"Baseline","FT",8402,35965,0.233616015570694
2016,"Late Tight","2PT",1172,2316,0.506044905008636
2016,"Late Tight","3PT",420,2316,0.181347150259067
2016,"Late Tight","FT",724,2316,0.312607944732297
2017,"Baseline","2PT",21266,36453,0.583381340356075
2017,"Baseline","3PT",7279,36453,0.199681782020684
2017,"Baseline","FT",7908,36453,0.216936877623241
2017,"Late Tight","2PT",977,2011,0.485827946295375
2017,"Late Tight","3PT",375,2011,0.186474390850323
2017,"Late Tight","FT",659,2011,0.327697662854301
2018,"Baseline","2PT",20975,36714,0.571307947921774
2018,"Baseline","3PT",8172,36714,0.22258538976957
2018,"Baseline","FT",7567,36714,0.206106662308656
2018,"Late Tight","2PT",785,1587,0.494643982356648
2018,"Late Tight","3PT",325,1587,0.20478890989288
2018,"Late Tight","FT",477,1587,0.300567107750473
2019,"Baseline","2PT",20569,35827,0.574120077036872
2019,"Baseline","3PT",8300,35827,0.231668853099618
2019,"Baseline","FT",6958,35827,0.194211069863511
2019,"Late Tight","2PT",943,1872,0.503739316239316
