"athlete_id_1","player_name","attempts_Late_Tight","makes_Late_Tight","attempts_Baseline","makes_Baseline","pct_Late_Tight","pct_Baseline","delta_pp","label"
818,"Chioma Nnamaka",1,1,25,6,1,0.24,76,"Clutch"
690,"Brandi Davis",1,1,61,19,1,0.311475409836066,68.8524590163934,"Clutch"
2969569,"Evgeniia Belyakova",1,1,70,22,1,0.314285714285714,68.5714285714286,"Clutch"
5106150,"Stephanie Soares",1,1,35,11,1,0.314285714285714,68.5714285714286,"Clutch"
884,"Abi Olajuwon",1,1,33,11,1,0.333333333333333,66.6666666666667,"Clutch"
3056639,"Linnae Harper",1,1,82,32,1,0.390243902439024,60.9756097560976,"Clutch"
1020,"Chastity Reed",1,1,51,20,1,0.392156862745098,60.7843137254902,"Clutch"
4281930,"Anneli Maley",1,1,5,2,1,0.4,60,"Clutch"
550,"Iciss Tillis",1,1,118,49,1,0.415254237288136,58.4745762711864,"Clutch"
3143149,"Paris Kea",2,2,110,46,1,0.418181818181818,58.1818181818182,"Clutch"
936,"Jene  Morris",1,1,86,36,1,0.418604651162791,58.1395348837209,"Clutch"
4433424,"Maddy Westbeld",1,1,120,51,1,0.425,57.5,"Clutch"
1103,"Natalie  Novosel",1,1,129,55,1,0.426356589147287,57.3643410852713,"Clutch"
4422424,"Li Meng",2,2,192,83,1,0.432291666666667,56.7708333333333,"Clutch"
3143136,"Jaime Nared",2,2,106,46,1,0.433962264150943,56.6037735849057,"Clutch"
44,"Tamika Williams-Jeter",2,2,182,80,1,0.43956043956044,56.043956043956,"Clutch"
2491228,"Nadirah McKenith",2,2,128,57,1,0.4453125,55.46875,"Clutch"
985,"Amber Harris",2,2,394,179,1,0.454314720812183,54.5685279187817,"Clutch"
465,"Suzy Batkovic",3,3,80,37,1,0.4625,53.75,"Clutch"
739,"Kathrin Ress",2,2,104,49,1,0.471153846153846,52.8846153846154,"Clutch"
1069,"Sasha Goodlett",3,3,313,155,1,0.495207667731629,50.4792332268371,"Clutch"
676,"Zane Teilane",1,1,28,14,1,0.5,50,"Clutch"
2566452,"Cierra Burdick",2,2,118,59,1,0.5,50,"Clutch"
4068600,"Bella Alarie",3,3,159,80,1,0.50314465408805,49.685534591195,"Clutch"
4594527,"Dulcy Fankam Mendjiadeu",5,5,151,77,1,0.509933774834437,49.0066225165563,"Clutch"
4068890,"Stella Johnson",3,3,48,25,1,0.520833333333333,47.9166666666667,"Clutch"
4398591,"Liz Dixon",1,1,65,35,1,0.538461538461538,46.1538461538462,"Clutch"
4038352,"Nayo Raincock-Ekunwe",1,1,242,138,1,0.570247933884298,42.9752066115703,"Clutch"
3142242,"Amy Okonkwo",2,2,79,46,1,0.582278481012658,41.7721518987342,"Clutch"
463,"Chantelle Anderson",2,2,190,112,1,0.589473684210526,41.0526315789474,"Clutch"
2590350,"Samantha Logic",3,2,79,22,0.666666666666667,0.278481012658228,38.8185654008439,"Clutch"
631,"Anna Montanana",4,3,32,12,0.75,0.375,37.5,"Clutch"
4595910,"Haley Jones",17,14,618,279,0.823529411764706,0.451456310679612,37.2073101085094,"Clutch"
750,"Brooke Smith",3,3,95,62,1,0.652631578947368,34.7368421052632,"Clutch"
715,"Shanna Crossley",14,11,703,313,0.785714285714286,0.445234708392603,34.0479577321683,"Clutch"
3146149,"Brooke McCarty-Williams",3,2,99,35,0.666666666666667,0.353535353535354,31.3131313131313,"Clutch"
4432865,"Jacy Sheldon",13,10,427,201,0.769230769230769,0.470725995316159,29.850477391461,"Clutch"
3920741,"Kitija Laksa",7,5,208,88,0.714285714285714,0.423076923076923,29.1208791208791,"Clutch"
